Müşteri Şikayeti, Kategori, Alt Kategori
"Blokeyi kaldırmak için müşteri hizmetlerini aradım ama kimseye ulaşamıyorum.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Şubeye gittim, blokeyi kaldırmaları 3 gün sürdü. Bu kadar zor mu?", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Online bankacılık üzerinden bloke kaldırma işlemi yapılamıyor, neden bu kadar karmaşık?", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Kartım bloke oldu ve kimse neden olduğunu söyleyemiyor.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Müşteri hizmetleri yetersiz, bloke işlemiyle ilgili düzgün bilgi alamadım.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Bloke kaldırma işlemi çok uzun sürdü, mağdur oldum.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"İnternet bankacılığında bloke kaldırma seçeneği yok, sürekli şubeye gitmek zorundayım.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Kartımın neden bloke olduğunu bile bilmiyorum, bilgi eksikliği var.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Blokeyi kaldırmak için gerekli belgeleri tamamladım ama yine de işlem yapılmadı.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Müşteri hizmetleri bekleme süresi çok uzun, blokeyi kaldıramadım.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Kartımın bloke olduğu konusunda bilgilendirilmedim, alışveriş yaparken öğrendim.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Bloke kaldırma süreci çok yavaş, acil işlerimde aksaklık yaşadım.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Telefon bankacılığı üzerinden bloke kaldıramıyorum, bu çok sinir bozucu.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Bloke kaldırma işlemi için sürekli farklı belgeler isteniyor, kafa karıştırıcı.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Şubeye gittiğimde çalışanlar yeterince yardımcı olamadı, sorun çözülmedi.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Bloke kaldırma işlemi sırasında sürekli farklı müşteri temsilcileri ile görüşmek zorunda kaldım.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Bloke kaldırma işlemi için tekrar tekrar şubeye gitmek zorunda kaldım.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Kartımın bloke olduğunu geç fark ettim, çünkü hiçbir uyarı almadım.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Bloke kaldırmak için gerekli bilgileri vermeme rağmen işlem yapılmadı.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Bloke kaldırma süreci çok zahmetli, daha kolay bir çözüm sunmalılar.", Fraud Yönetimi, Hesap/Kart Bloke Kaldırma
"Gönderdiğim EFT'nin teyidini nasıl alabilirim?", Fraud Yönetimi, EFT/Havale Teyit
"Havale işleminin başarıyla gerçekleştiğini nasıl kontrol edebilirim?", Fraud Yönetimi, EFT/Havale Teyit
"EFT/havale işlemi ne kadar sürede onaylanır?", Fraud Yönetimi, EFT/Havale Teyit
"EFT'nin alıcı hesabına ulaşıp ulaşmadığını nasıl öğrenebilirim?", Fraud Yönetimi, EFT/Havale Teyit
"Havale işlemimi nasıl teyit edebilirim?", Fraud Yönetimi, EFT/Havale Teyit
"EFT işlemi sırasında herhangi bir hata oldu mu nasıl anlayabilirim?", Fraud Yönetimi, EFT/Havale Teyit
"Havale işleminin durumunu nasıl takip edebilirim?", Fraud Yönetimi, EFT/Havale Teyit
"EFT'nin doğru hesaba ulaştığını nasıl garanti edebilirim?", Fraud Yönetimi, EFT/Havale Teyit
"Havale işleminin tamamlandığını nasıl teyit edebilirim?", Fraud Yönetimi, EFT/Havale Teyit
"EFT işlemi sırasında verilen referans numarasını nasıl kullanabilirim?", Fraud Yönetimi, EFT/Havale Teyit
"Gönderdiğim EFT'nin teyidini almak için müşteri hizmetlerine ulaşamıyorum.", Fraud Yönetimi, EFT/Havale Teyit
"Havale işleminin başarılı olduğunu kontrol etmek çok zor oldu.", Fraud Yönetimi, EFT/Havale Teyit
"EFT onay süresi çok uzun, mağdur oldum.", Fraud Yönetimi, EFT/Havale Teyit
"Alıcı hesabına ulaşan EFT'yi teyit etmek için yeterli bilgi verilmedi.", Fraud Yönetimi, EFT/Havale Teyit
"Havale işlemini teyit etmek için sürekli bankayı aramak zorunda kaldım.", Fraud Yönetimi, EFT/Havale Teyit
"EFT işlemi sırasında bir hata oldu ama kimse bilgi vermedi.", Fraud Yönetimi, EFT/Havale Teyit
"Havale işleminin durumunu takip etmek çok karmaşık.", Fraud Yönetimi, EFT/Havale Teyit
"EFT'nin doğru hesaba ulaştığını kontrol etmek için çok uğraştım.", Fraud Yönetimi, EFT/Havale Teyit
"Havale işleminin tamamlandığını teyit etmek zor oldu.", Fraud Yönetimi, EFT/Havale Teyit
"EFT referans numarasını kullanarak işlemimi takip edemedim.", Fraud Yönetimi, EFT/Havale Teyit
"Hesabımda dolandırıcılık şüphesi var, ne yapmalıyım?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Kartımda şüpheli işlemler gördüm, nasıl itiraz edebilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli bir işlem gördüğümde ilk adım ne olmalı?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık durumunda kartımı nasıl bloke ettirebilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlemleri nasıl takip edebilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi olduğunda banka ile nasıl iletişime geçebilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli bir işlem için ne kadar sürede geri ödeme alabilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımda şüpheli bir işlem olduğunu nasıl anlarım?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi olan işlemleri nasıl bildirebilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Kartımın dolandırıcılık şüphesiyle bloke edilip edilmediğini nasıl öğrenebilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlemler için ne tür belgeler gereklidir?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık durumunda hesabımı nasıl güvende tutabilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemleri bildirmek için banka şubesine gitmem gerekir mi?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemler için telefon bankacılığı kullanılabilir mi?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık durumunda yeni kart talep edebilir miyim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımda şüpheli işlem gördüğümde polisi aramalı mıyım?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli bir işlem için banka ne kadar sürede geri dönüş yapar?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık durumunda yasal haklarım nelerdir?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemleri önlemek için neler yapabilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi olan işlemler için kimlerle iletişime geçebilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlemleri nasıl iptal edebilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi durumunda hesabım tamamen kapanır mı?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlem bildiriminde bulunurken hangi bilgileri vermeliyim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi durumunda banka nasıl bir inceleme yapar?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemleri engellemek için hangi güvenlik önlemlerini alabilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlemler için ne kadar süre beklemeliyim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi durumunda hesabımı nasıl koruyabilirim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemler için banka şikayet hattı numarası nedir?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi olan işlemler için banka ne tür aksiyonlar alır?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlem bildiriminde bulunmak için online bankacılığı kullanabilir miyim?", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlemi bankaya bildirdim ama hiçbir geri dönüş alamadım.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Kartımda dolandırıcılık şüphesi vardı, ama banka süreci çok yavaş yürüttü.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemleri iptal etmek için şubeye gitmek zorunda kaldım, çok zahmetliydi.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi nedeniyle hesabım bloke edildi, mağdur oldum.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemleri bildirmek için müşteri hizmetlerine ulaşmak çok zor.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlem için bankadan yeterli destek alamadım.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi olan işlemle ilgili bilgi almak çok zaman aldı.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Kartım bloke edildiğinde alışveriş yaparken büyük bir sıkıntı yaşadım.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlem bildiriminde bulunduğumda yeterli ilgi görmedim.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesiyle ilgili bankanın incelemesi çok uzun sürdü.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemler için bankaya ulaştığımda sürekli bekletildim.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlem için müşteri hizmetlerinden net bir cevap alamadım.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi olan işlemlerle ilgili banka yeterince hızlı hareket etmedi.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlem bildiriminde bulunurken sürekli farklı müşteri temsilcileriyle görüştüm.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlemler için banka sürekli ek belgeler talep etti.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesiyle ilgili işlem süreci çok karmaşıktı.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemlerle ilgili bankadan yeterli bilgilendirme alamadım.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi nedeniyle hesabım kapandı, işlerim aksadı.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlem bildiriminde bulunurken bankanın müşteri hizmetleri yetersiz kaldı.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlemlerle ilgili bankanın çözüm süreci çok yavaş işledi.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımda fark etmediğim ve onaylamadığım işlemler görüyorum. Acilen kartımın bloke edilmesini ve şüpheli işlemlerin incelenmesini talep ediyorum", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Kartımda yapılan şüpheli işlemler için itiraz formunu doldurdum ve gerekli belgeleri sundum. Ancak, banka süreci çok yavaş yürütüyor ve bir geri dönüş alamadım. Sürecin hızlandırılmasını istiyorum.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesiyle ilgili müşteri hizmetlerini aradım fakat yeterli destek alamadım. Sürekli farklı temsilcilerle görüştüm ve net bir cevap verilmedi. Bu konuyla ilgili acilen çözüm istiyorum.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımdaki şüpheli işlemlerle ilgili polis raporu sundum fakat banka hala ek belgeler talep ediyor. Sürecin neden bu kadar karmaşık olduğunu anlamıyorum ve hızlı bir çözüm bekliyorum.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Şüpheli işlemlerle ilgili itirazda bulundum fakat bankadan hala geri ödeme almadım. Süreç çok uzun sürdü ve bu durum mağduriyet yaratıyor. Acilen paramın iade edilmesini talep ediyorum.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Online bankacılık üzerinden şüpheli işlemleri bildirdim ancak geri dönüş alamadım. İşlemler hala devam ediyor ve bu durum güvenlik açığı yaratıyor. Konunun acilen incelenmesini istiyorum", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Dolandırıcılık şüphesi nedeniyle kartımı bloke ettirdim ve yeni bir kart talep ettim. Ancak, yeni kartımın teslimatı gecikti ve bu durum günlük işlerimi aksatıyor. Yeni kartımın bir an önce gönderilmesini talep ediyorum", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Hesabımda sık sık şüpheli işlemler görüyorum ve bu durum beni endişelendiriyor. Bankadan daha güçlü güvenlik önlemleri almasını ve hesap hareketlerimin daha sıkı takip edilmesini talep ediyorum.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Hesap-Kart İşlemleri
"Yatırım hesabıma izinsiz erişim girişimleri fark ettim. Platformun güvenliği konusunda ciddi endişelerim var.", Fraud Yönetimi, Dolandırıcılık/Bilgi Dışı Şüpheli Yatırım İşlemleri
"Hesap bilgilerimin çalındığını fark ettim, hemen ne yapmalıyım?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Belgelerimin sahte olup olmadığını nasıl doğrulatabilirim?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Kayıp belgelerimi bildirmek için hangi adımları izlemeliyim?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Hesap bilgilerim çalındığında bankamı bilgilendirmenin en hızlı yolu nedir?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Sahte belgelerle yapılan işlemleri nasıl tespit edebilirim?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Kayıp belgelerimle ilgili bankanın yapacağı işlemler nelerdir?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Hesap bilgilerim çalındığında ne tür güvenlik önlemleri alabilirim?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Sahte belgelerle yapılan işlemler için yasal olarak ne yapabilirim?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Kayıp belgelerimi bildirdiğimde bankam nasıl bir süreç izler?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Hesap bilgilerim çalındıysa kartımı nasıl yenileyebilirim?", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Hesap bilgilerimin çalındığını bankaya bildirdim, ama sorunum çözülmedi.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Sahte belgelerle yapılan işlemler için bankadan yeterli destek alamadım.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Kayıp belgelerimi bildirdiğimde banka süreci çok yavaş ilerletti, mağdur oldum.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Hesap bilgilerim çalındığında müşteri hizmetlerine ulaşmak çok zor oldu.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Sahte belgelerle yapılan işlemleri bankaya bildirdiğimde gereken önlemler alınmadı.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Kayıp belgelerimle ilgili bankadan yeterli bilgilendirme alamadım.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Hesap bilgilerim çalındığında banka yeterince hızlı hareket etmedi.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Sahte belgelerle yapılan işlemleri iptal etmek için çok uğraştım, ama sonuç alamadım.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Kayıp belgelerimi bildirdiğimde sürekli farklı müşteri temsilcileriyle görüşmek zorunda kaldım.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Hesap bilgilerim çalındığında bankanın çözüm süreci çok karmaşık ve yavaş oldu, büyük sıkıntı yaşadım.", Fraud Yönetimi, Bilgi-Belge Sahteciliği/Kayıp
"Nasıl hisse senedi alabilirim/satabilirim?", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım işlemlerimle ilgili yardıma ihtiyacım var.", Yatırım Ürünleri, Yatırım İşlemleri
"Bugünkü döviz kurları ne?", Yatırım Ürünleri, Yatırım İşlemleri
"Vadeli mevduat hesaplarımın faiz oranları hakkında net bilgiye ulaşmakta zorlanıyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım yaptığım hisselerin yanlış hesaplandığını fark ettim. Durumu düzeltmeleri için defalarca aradım ama hala bir ilerleme yok.", Yatırım Ürünleri, Yatırım İşlemleri
"Son zamanlarda yatırım hesabıma giriş yapamıyorum. Müşteri hizmetlerini aradım ama çözüm bulamadılar. Bu durumdan çok rahatsızım.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım hesabıma para yatırmak istedim ancak işlem gerçekleşmedi. Müşteri hizmetleriyle defalarca görüştüm ama hala çözülemedi", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım hesabımdan iznim olmadan para çekilmiş.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım hesabımdaki hareketlerin bazıları yanlış görünüyor. Müşteri hizmetleriyle iletişime geçtim ama hala düzeltilmedi.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım işlemlerim sırasında sık sık bağlantı kopuyor ve işlemlerim yarım kalıyor. Bu sorunu bir an önce çözmeleri gerekiyor.", Yatırım Ürünleri, Yatırım İşlemleri
"Her işlemde kesilen komisyon ücretleri yüzünden neredeyse kazanç elde edemiyorum. Lütfen komisyonları azaltın.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım işlemlerimde ödenen komisyon ücretleri çok yüksek. Bu durum yatırım getirimi ciddi şekilde etkiliyor.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım işlemlerim sürekli gecikiyor ve bu yüzden önemli fırsatları kaçırıyorum. Bu konuda acil bir çözüm bekliyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım emrim yanlış gerçekleştirilmiş. Durumu düzeltmek için saatlerdir müşteri hizmetleriyle uğraşıyorum ama henüz bir çözüm bulamadım.", Yatırım Ürünleri, Yatırım İşlemleri
"Yanlış işlem yapıldı ve bu yüzden para kaybettim. Lütfen durumu hemen düzeltin ve zararımın karşılanmasını sağlayın.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırım platformunuz sürekli çöküyor ve bu yüzden işlem yapamıyorum. Bu kadar önemli bir hizmetin daha stabil çalışmasını beklerdim.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatırımlarım hakkında yeterli bilgiye sahip değilim. Yatırım fırsatları ve riskleri hakkında daha fazla bilgilendirilmek istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Yatirim hesabımdan hisse satışı yaptıktan sonra parayı hesaba çekmeye çalışınca tutar 0 olarak göründü. Yatirim hesabımda para var ama transfer ekranında 0 göründü. 20 dakika sonunda müşteri temsilcisi paranın fon hesabında olduğunu belirtti ve hiç de düşük olmayan bir işlem ücreti kesintisine maruz kaldım.", Yatırım Ürünleri, Yatırım İşlemleri
"Bir yatırım hesabım var, fakat bugün itibariyle hesabıma giriş yaptığımda yatirim hesabınız bulunmamaktadır yazısıyla karşılaşıyorum. Bankaya gittim sorun yok dediler, xCep üzerinden müşteri temsilcisini de aradığımda bana yatirim hesabınız yok diyor. En kısa sürede çözülmesini istiyorum, zaten en kısa zamanda portföyümü başka bankaya taşımak istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"vadesiz hesabımdan yatırım hesabıma para aktardım. Fakat para görünmüyor. Yatirim müşteri hizmetlerini arıyorum asla cevap yok ulaşamıyorum. Para çıkışı dekontu var fakat para ne vadesiz de ne yatirim hesabım da görünmüyor.", Yatırım Ürünleri, Yatırım İşlemleri
"Bazen uygulamanızdaki kurlar, bankanın fiziki kurlarından farklı oluyor. Bu konuda bir standardizasyon sağlanmalı.", Yatırım Ürünleri, Yatırım İşlemleri
"Hisse senedi fiyatları ve diğer veriler zamanında güncellenmiyor. Bu durum doğru yatırım kararları almamı zorlaştırıyor.", Yatırım Ürünleri, Yatırım İşlemleri
"Platformda verilen hisse senedi bilgilerinin güncel ve doğru olduğundan emin olamıyorum. Veri güncellemeleri daha sık yapılmalı.", Yatırım Ürünleri, Yatırım İşlemleri
"Denizbank hesabından halka arz için yatırım hesabı açtım ve hisse aldım. Ancak hiçbir şekilde hisse portföyüm gözükmüyor.", Yatırım Ürünleri, Yatırım İşlemleri
"Satın aldığım halka arzımı bozmaya çalışıyorum ama nedense paramın hepsini alamadım. Yardımcı olurmusunuz?", Yatırım Ürünleri, Yatırım İşlemleri
"Denizbank yatırım hesabımdan iznim dışında belirli belirsiz periyotlarda ücretler kesiyor. Sadece halka arzlara katılıyorum küçük yatırımcıyım. Kesilen ücretlerin iadesini talep ediyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Temsilci tarafından açılan yatırım hesabı içinde borç ve bakiye bulunmamasına rağmen hesap kapatılamamaktadır. Açıklama da hesap üzerinde borç bakiye var. Hesap kapatılamaz uyarısı vermektedir. Hesabımın acil kapatılmasını istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Kredili mevduat hesabım var ve faiz borcumu ödediğim halde gecikme yaşadım. Gereğinin acilen yapılmasını istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Bilgim dışında mevduat hesabı faiz oranım düşürüldü. Acilen düzeltilmesini istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"20.06.2024 tarihinde bankadan adıma vadeli mevduat hesabı açıldığı mesajı geldi fakat ben böyle bir hesap açmadım. Yardımcı olur musnuz?", Yatırım Ürünleri, Yatırım İşlemleri
"İnternet sitesinde %36 faiz oranı gözükmesine rağmen hesap açtığımda %25 faiz gözüküyor. Çağrı merkezi ile konuşmama rağmen asla ilgilenilmedi.", Yatırım Ürünleri, Yatırım İşlemleri
"Mevduat hesabımı başka bankaya transfer etmek istiyorum ne yapmam lazım?", Yatırım Ürünleri, Yatırım İşlemleri
"Merhaba müşterimiz kur korumalı vadeli hesabına kur farkı yatmadığını tarafına dönüş sağlanmasını talep eder. Saygılar.", Yatırım Ürünleri, Yatırım İşlemleri
"Sayin xbank, Benim vadeli hesapta bulunan 123.456,71 tl yi 11.05.2024 tarihinde sabah vadesiz hesaba aktarmanizi rica ederim.", Yatırım Ürünleri, Yatırım İşlemleri
"Kredili mevduat hesabımı kapatmak istiyorum. Nasıl yapabilirim?", Yatırım Ürünleri, Yatırım İşlemleri
"Merhaba, müşterimiz mevduat hesabından yapılan kesintilerin sebebini öğrenmek istemektedir ve bu konuda bilgilendirme talep etmektedir. Teşekkürler", Yatırım Ürünleri, Yatırım İşlemleri
"Müşteri vadeli hesabından vadesiz hesaba para transferi yapamadığını belirtmiştir.", Yatırım Ürünleri, Yatırım İşlemleri
"mevduat hesabımdan yapılan kesintilerin sebebini öğrenmek istiyorum. Kesilen bu miktar konusunda bilgim dışında olan kesintinin açıklanmasını ve iadesini talep ediyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Mevduat hesabımı kapattıktan sonra para bana yatırılmadı kaç gün oldu. acilen ilgilenilmesini istyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Haberim olmadan mevduat faiz tahakkuku altında yukluce bir kesinti yapılmis. asla yazili olarak ya da sözlü olarak bilgilendrmedim. paramın iadesini istiyorum.", Yatırım Ürünleri, Yatırım İşlemleri
"Vadeli mevduat faiz oranlari hakkinda bilgi alabilir miyim?", Yatırım Ürünleri, Yatırım İşlemleri
"Bankanizin mevduat hesaplari hakkinda bilgi sahibi olmak istiyorum", Yatırım Ürünleri, Yatırım İşlemleri
"Kur korumali turk lirasi mevduat hesabi nasil acabilrim?", Yatırım Ürünleri, Yatırım İşlemleri
"vade sonunda mevduat hesabimdaki tutari goremiyorum. musteri hizmetleri de yardımci olmadi bu sorunn duzeltilmesini istiyorm.", Yatırım Ürünleri, Yatırım İşlemleri
"aylik faiz hesaplama nasil oluyor?", Yatırım Ürünleri, Yatırım İşlemleri
"aylik faiz hesaplama isleimini nasil ypabilirim?", Yatırım Ürünleri, Yatırım İşlemleri
"vadeli mevduat faiz getiri hesaplama nasil oluyor?", Yatırım Ürünleri, Yatırım İşlemleri
